epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17214.4,1.73377,1.38464,0.98435,0.56559,0.46797,0.49457,0.34186,1.68379,1.33422,0.98537,0.000349331,0.000349331,0.000349331
43,17615.1,1.72558,1.39628,0.98686,0.54833,0.49644,0.50555,0.3435,1.68511,1.3292,0.98874,0.00034351,0.00034351,0.00034351
44,17991.9,1.75901,1.39147,0.99063,0.57662,0.46581,0.50359,0.34848,1.66172,1.33234,0.98111,0.000337688,0.000337688,0.000337688
45,18385.8,1.75748,1.38156,0.99031,0.55051,0.49491,0.50964,0.34919,1.70115,1.34358,0.98983,0.000331867,0.000331867,0.000331867
46,18772.1,1.75479,1.37227,0.98789,0.57551,0.47363,0.50355,0.34939,1.66002,1.31334,0.98293,0.000326046,0.000326046,0.000326046
47,19170.7,1.70565,1.35194,0.97763,0.56575,0.48194,0.51439,0.34841,1.68486,1.31993,0.98362,0.000320225,0.000320225,0.000320225
48,19577.2,1.70108,1.34786,0.98111,0.58522,0.47972,0.50746,0.3503,1.65201,1.30357,0.97618,0.000314404,0.000314404,0.000314404
49,19969.5,1.71651,1.3282,0.97519,0.54335,0.51337,0.52283,0.35459,1.6694,1.31316,0.98154,0.000308582,0.000308582,0.000308582
50,20390.8,1.73149,1.35892,0.98466,0.55029,0.49789,0.51769,0.35198,1.66459,1.30019,0.98367,0.000302761,0.000302761,0.000302761
51,20807,1.7063,1.32779,0.97649,0.61467,0.51539,0.53964,0.36676,1.67004,1.26829,0.97723,0.00029694,0.00029694,0.00029694
52,21205.5,1.68565,1.30924,0.97443,0.59718,0.51651,0.54501,0.37572,1.64822,1.25599,0.97536,0.000291119,0.000291119,0.000291119
53,21600,1.68723,1.31475,0.97748,0.58638,0.5126,0.5406,0.37405,1.64163,1.29561,0.97513,0.000285298,0.000285298,0.000285298
54,21998.1,1.69645,1.30799,0.97713,0.58715,0.51548,0.5481,0.38113,1.62003,1.25345,0.97387,0.000279476,0.000279476,0.000279476
55,22425.7,1.68848,1.30697,0.97258,0.57704,0.50817,0.52778,0.35564,1.67724,1.27966,0.97827,0.000273655,0.000273655,0.000273655
56,22844.2,1.677,1.29951,0.97485,0.57526,0.51937,0.54052,0.37164,1.64061,1.26562,0.97558,0.000267834,0.000267834,0.000267834
57,23216.4,1.67465,1.27373,0.9655,0.59907,0.50958,0.54145,0.37595,1.61627,1.26272,0.96974,0.000262013,0.000262013,0.000262013
58,23583.3,1.67132,1.27894,0.97134,0.60152,0.53487,0.55968,0.37856,1.65977,1.2562,0.97902,0.000256192,0.000256192,0.000256192
59,23962,1.69034,1.28926,0.97213,0.61556,0.53095,0.56612,0.38831,1.61413,1.22892,0.96883,0.00025037,0.00025037,0.00025037
60,24350.1,1.66467,1.26166,0.96406,0.61814,0.53241,0.56346,0.38872,1.64262,1.23822,0.97069,0.000244549,0.000244549,0.000244549
61,24736.6,1.66809,1.28329,0.96944,0.63711,0.52969,0.56901,0.39431,1.6182,1.23883,0.96852,0.000238728,0.000238728,0.000238728
62,25151.8,1.6862,1.27497,0.97194,0.64418,0.51624,0.55573,0.38937,1.61762,1.23395,0.96874,0.000232907,0.000232907,0.000232907
63,25567,1.67146,1.27916,0.96101,0.60707,0.5383,0.56495,0.39403,1.61247,1.22831,0.96649,0.000227086,0.000227086,0.000227086
64,25993.9,1.63122,1.23098,0.96064,0.61316,0.53088,0.55343,0.38792,1.61002,1.23974,0.96928,0.000221264,0.000221264,0.000221264
65,26396.6,1.65445,1.22379,0.96397,0.61458,0.56276,0.57611,0.40385,1.60033,1.20098,0.96725,0.000215443,0.000215443,0.000215443
66,26813.7,1.66534,1.24711,0.96037,0.63172,0.5281,0.57211,0.39394,1.60494,1.20961,0.96754,0.000209622,0.000209622,0.000209622
67,27210.4,1.6562,1.23793,0.96553,0.59186,0.55664,0.56828,0.39483,1.59848,1.21324,0.96605,0.000203801,0.000203801,0.000203801
68,27619.2,1.62222,1.22333,0.95667,0.61886,0.55585,0.58101,0.40623,1.61462,1.2069,0.96871,0.00019798,0.00019798,0.00019798
69,28003.8,1.64383,1.2246,0.95863,0.62904,0.54937,0.58221,0.40572,1.59204,1.20097,0.96395,0.000192158,0.000192158,0.000192158
70,28378,1.65012,1.227,0.95962,0.65444,0.53076,0.582,0.40406,1.61219,1.19786,0.96755,0.000186337,0.000186337,0.000186337
71,28780.7,1.60224,1.20981,0.95637,0.63357,0.5776,0.59689,0.41881,1.59044,1.18404,0.96215,0.000180516,0.000180516,0.000180516
72,29176.5,1.63174,1.21223,0.95825,0.65382,0.53773,0.57901,0.39436,1.6344,1.20643,0.97053,0.000174695,0.000174695,0.000174695
73,29554.3,1.61584,1.21179,0.95775,0.64899,0.54352,0.58881,0.4123,1.58062,1.18275,0.96144,0.000168874,0.000168874,0.000168874
74,29955.1,1.6191,1.20744,0.95741,0.6486,0.56738,0.59949,0.41656,1.59651,1.18329,0.95969,0.000163052,0.000163052,0.000163052
75,30343.8,1.61216,1.19175,0.95947,0.64772,0.55707,0.60234,0.42454,1.58959,1.16933,0.96128,0.000157231,0.000157231,0.000157231
76,30752.4,1.62649,1.20741,0.94999,0.64648,0.55421,0.59875,0.42016,1.58686,1.16367,0.9606,0.00015141,0.00015141,0.00015141
77,31173.9,1.60898,1.19405,0.94854,0.65114,0.56052,0.60439,0.42608,1.58115,1.16784,0.95907,0.000145589,0.000145589,0.000145589
78,31561.4,1.63203,1.19753,0.95669,0.64149,0.58064,0.60339,0.42789,1.57387,1.1544,0.95726,0.000139768,0.000139768,0.000139768
79,31962.7,1.59855,1.17362,0.94885,0.61921,0.57583,0.60029,0.42246,1.57367,1.16409,0.95814,0.000133946,0.000133946,0.000133946
80,32363.6,1.62137,1.18713,0.9567,0.6707,0.57167,0.61163,0.43346,1.57427,1.15495,0.9572,0.000128125,0.000128125,0.000128125
81,32763.6,1.61991,1.18686,0.94808,0.65034,0.5692,0.6045,0.42518,1.56668,1.16521,0.95822,0.000122304,0.000122304,0.000122304
82,33168.2,1.59187,1.17607,0.94995,0.66351,0.56226,0.60493,0.42372,1.58067,1.15647,0.96008,0.000116483,0.000116483,0.000116483
83,33560.3,1.60869,1.18227,0.95558,0.70861,0.54891,0.60636,0.42843,1.56513,1.14881,0.9565,0.000110662,0.000110662,0.000110662
84,33975.9,1.60568,1.17095,0.95501,0.65956,0.57333,0.61337,0.4332,1.56967,1.14489,0.95756,0.00010484,0.00010484,0.00010484
85,34376.9,1.61308,1.17266,0.95017,0.66115,0.57346,0.61275,0.42713,1.57899,1.14954,0.95811,9.90192e-05,9.90192e-05,9.90192e-05
86,34778.8,1.6014,1.16922,0.94931,0.65463,0.5843,0.61171,0.42743,1.57596,1.13634,0.95608,9.3198e-05,9.3198e-05,9.3198e-05
87,35197.1,1.60074,1.17771,0.94838,0.66162,0.58371,0.61582,0.43287,1.56197,1.13557,0.95352,8.73768e-05,8.73768e-05,8.73768e-05
88,35595.7,1.59308,1.15929,0.94687,0.6409,0.58212,0.61846,0.43684,1.55795,1.13256,0.95435,8.15556e-05,8.15556e-05,8.15556e-05
89,35983.8,1.58593,1.15502,0.94415,0.69643,0.57074,0.62341,0.44081,1.56985,1.12732,0.95448,7.57344e-05,7.57344e-05,7.57344e-05
90,36399.3,1.60859,1.16261,0.95146,0.70474,0.56253,0.61753,0.43182,1.56742,1.13383,0.95603,6.99132e-05,6.99132e-05,6.99132e-05
91,36791.5,1.63029,1.19589,0.9481,0.65784,0.56374,0.60664,0.42163,1.59284,1.16611,0.96387,6.4092e-05,6.4092e-05,6.4092e-05
92,37193.6,1.61511,1.17803,0.94715,0.69393,0.54877,0.60044,0.41798,1.58904,1.16664,0.96098,5.82708e-05,5.82708e-05,5.82708e-05
93,37529.9,1.63315,1.18514,0.94763,0.7025,0.53582,0.59384,0.41497,1.59104,1.1732,0.96103,5.24496e-05,5.24496e-05,5.24496e-05
94,37868.3,1.5946,1.15803,0.94463,0.65056,0.56409,0.60029,0.41677,1.58824,1.17479,0.96258,4.66284e-05,4.66284e-05,4.66284e-05
95,38213.3,1.59453,1.15619,0.94006,0.67505,0.55392,0.60729,0.42347,1.58547,1.15902,0.95895,4.08072e-05,4.08072e-05,4.08072e-05
96,38545.6,1.59149,1.13847,0.93903,0.67622,0.57448,0.61306,0.43106,1.57166,1.15442,0.95848,3.4986e-05,3.4986e-05,3.4986e-05
97,38903.8,1.59007,1.1404,0.93835,0.65248,0.56893,0.61009,0.42582,1.58056,1.15938,0.95929,2.91648e-05,2.91648e-05,2.91648e-05
98,39267.4,1.58981,1.14126,0.94225,0.66139,0.57925,0.60944,0.42754,1.57929,1.14688,0.9592,2.33436e-05,2.33436e-05,2.33436e-05
99,39618.9,1.59766,1.1401,0.9379,0.69234,0.56261,0.60834,0.42669,1.5816,1.14535,0.95948,1.75224e-05,1.75224e-05,1.75224e-05
100,39975.8,1.59019,1.13896,0.9372,0.67075,0.57075,0.61111,0.42983,1.57295,1.14319,0.95758,1.17012e-05,1.17012e-05,1.17012e-05
